county,year,population
Anderson,2000,55062.0
Andrews,2000,12949.0
Angelina,2000,80270.0
Aransas,2000,22452.0
Archer,2000,8966.0
Armstrong,2000,2166.0
Atascosa,2000,38805.0
Austin,2000,23836.0
Bailey,2000,6596.0
Bandera,2000,17755.0
Bastrop,2000,58234.0
Baylor,2000,4135.0
Bee,2000,32200.0
Bell,2000,239890.0
Bexar,2000,1398834.0
Blanco,2000,8495.0
Borden,2000,715.0
Bosque,2000,17218.0
Bowie,2000,89156.0
Brazoria,2000,243116.0
Brazos,2000,153145.0
Brewster,2000,8903.0
Briscoe,2000,1796.0
Brooks,2000,7944.0
Brown,2000,37689.0
Burleson,2000,16553.0
Burnet,2000,34505.0
Caldwell,2000,32378.0
Calhoun,2000,20676.0
Callahan,2000,12885.0
Cameron,2000,336123.0
Camp,2000,11568.0
Carson,2000,6492.0
Cass,2000,30412.0
Castro,2000,8229.0
Chambers,2000,26188.0
Cherokee,2000,46790.0
Childress,2000,7676.0
Clay,2000,11064.0
Cochran,2000,3707.0
Coke,2000,3844.0
Coleman,2000,9180.0
Collin,2000,499118.0
Collingsworth,2000,3193.0
Colorado,2000,20326.0
Comal,2000,78583.0
Comanche,2000,13998.0
Concho,2000,3963.0
Cooke,2000,36433.0
Coryell,2000,75199.0
Cottle,2000,1883.0
Crane,2000,3951.0
Crockett,2000,4012.0
Crosby,2000,7053.0
Culberson,2000,2948.0
Dallam,2000,6224.0
Dallas,2000,2220848.0
Dawson,2000,14935.0
Deaf Smith,2000,18515.0
Delta,2000,5323.0
Denton,2000,438791.0
DeWitt,2000,19943.0
Dickens,2000,2724.0
Dimmit,2000,10160.0
Donley,2000,3813.0
Duval,2000,13007.0
Eastland,2000,18296.0
Ector,2000,120694.0
Edwards,2000,2143.0
Ellis,2000,112330.0
El Paso,2000,681729.0
Erath,2000,33057.0
Falls,2000,18522.0
Fannin,2000,31334.0
Fayette,2000,21864.0
Fisher,2000,4340.0
Floyd,2000,7734.0
Foard,2000,1594.0
Fort Bend,2000,358738.0
Franklin,2000,9459.0
Freestone,2000,17902.0
Frio,2000,16203.0
Gaines,2000,14473.0
Galveston,2000,250675.0
Garza,2000,4904.0
Gillespie,2000,20902.0
Glasscock,2000,1407.0
Goliad,2000,7007.0
Gonzales,2000,18642.0
Gray,2000,22578.0
Grayson,2000,110939.0
Gregg,2000,111255.0
Grimes,2000,23601.0
Guadalupe,2000,89841.0
Hale,2000,36581.0
Hall,2000,3749.0
Hamilton,2000,8239.0
Hansford,2000,5347.0
Hardeman,2000,4718.0
Hardin,2000,48162.0
Harris,2000,3414239.0
Harrison,2000,62040.0
Hartley,2000,5561.0
Haskell,2000,6062.0
Hays,2000,99267.0
Hemphill,2000,3335.0
Henderson,2000,73332.0
Hidalgo,2000,573216.0
Hill,2000,32539.0
Hockley,2000,22670.0
Hood,2000,41323.0
Hopkins,2000,31999.0
Houston,2000,23135.0
Howard,2000,33489.0
Hudspeth,2000,3357.0
Hunt,2000,76932.0
Hutchinson,2000,23778.0
Irion,2000,1758.0
Jack,2000,8752.0
Jackson,2000,14397.0
Jasper,2000,35552.0
Jeff Davis,2000,2233.0
