FIPS,county,census_2020_count,july1_2022_pop_est,jan1_2023_pop_est,num_chg_20_22,num_chg_20_23,pct_chg_20_22,pct_chg_20_23
001,Anderson,57922,57573,57848,-349,-74,-0.6,-0.1
003,Andrews,18610,18732,18773,122,163,0.7,0.9
005,Angelina,86395,86380,86354,-15,-41,-0.0,-0.0
007,Aransas,23830,24945,25219,1115,1389,4.7,5.8
009,Archer,8560,8652,8712,92,152,1.1,1.8
011,Armstrong,1848,1848,1859,0,11,0.0,0.6
013,Atascosa,48981,50027,50320,1046,1339,2.1,2.7
015,Austin,30167,31005,31331,838,1164,2.8,3.9
017,Bailey,6904,6787,6777,-117,-127,-1.7,-1.8
019,Bandera,20851,21971,22169,1120,1318,5.4,6.3
021,Bastrop,97216,105803,107810,8587,10594,8.8,10.9
023,Baylor,3465,3484,3489,19,24,0.5,0.7
025,Bee,31047,30700,30360,-347,-687,-1.1,-2.2
027,Bell,370647,384429,388804,13782,18157,3.7,4.9
029,Bexar,2009324,2054015,2062280,44691,52956,2.2,2.6
031,Blanco,11374,12460,12735,1086,1361,9.5,12.0
033,Borden,631,576,550,-55,-81,-8.7,-12.8
035,Bosque,18235,18543,18689,308,454,1.7,2.5
037,Bowie,92893,91431,91532,-1462,-1361,-1.6,-1.5
039,Brazoria,372031,387730,392273,15699,20242,4.2,5.4
041,Brazos,233849,241028,243443,7179,9594,3.1,4.1
043,Brewster,9546,9369,9361,-177,-185,-1.9,-1.9
045,Briscoe,1435,1428,1438,-7,3,-0.5,0.2
047,Brooks,7076,6961,6958,-115,-118,-1.6,-1.7
049,Brown,38095,38016,38014,-79,-81,-0.2,-0.2
051,Burleson,17642,18764,19224,1122,1582,6.4,9.0
053,Burnet,49130,52256,53077,3126,3947,6.4,8.0
055,Caldwell,45883,47189,47320,1306,1437,2.8,3.1
057,Calhoun,20106,19793,19705,-313,-401,-1.6,-2.0
059,Callahan,13708,14452,14605,744,897,5.4,6.5
061,Cameron,421017,423604,424884,2587,3867,0.6,0.9
063,Camp,12464,12287,12180,-177,-284,-1.4,-2.3
065,Carson,5807,5701,5687,-106,-120,-1.8,-2.1
067,Cass,28454,28636,28652,182,198,0.6,0.7
069,Castro,7371,7261,7263,-110,-108,-1.5,-1.5
071,Chambers,46571,51206,52178,4635,5607,10.0,12.0
073,Cherokee,50412,51463,51571,1051,1159,2.1,2.3
075,Childress,6664,6796,6828,132,164,2.0,2.5
077,Clay,10218,10394,10507,176,289,1.7,2.8
079,Cochran,2547,2540,2536,-7,-11,-0.3,-0.4
081,Coke,3285,3303,3304,18,19,0.5,0.6
083,Coleman,7684,7734,7753,50,69,0.7,0.9
085,Collin,1064465,1160686,1190111,96221,125646,9.0,11.8
087,Collingsworth,2652,2573,2554,-79,-98,-3.0,-3.7
089,Colorado,20557,20688,20713,131,156,0.6,0.8
091,Comal,161501,184810,189592,23309,28091,14.4,17.4
093,Comanche,13594,14134,14335,540,741,4.0,5.5
095,Concho,3303,3349,3363,46,60,1.4,1.8
097,Cooke,41668,42781,43219,1113,1551,2.7,3.7
099,Coryell,83093,84691,84946,1598,1853,1.9,2.2
101,Cottle,1380,1326,1300,-54,-80,-3.9,-5.8
103,Crane,4675,4775,4821,100,146,2.1,3.1
105,Crockett,3098,3029,3009,-69,-89,-2.2,-2.9
107,Crosby,5133,4961,4910,-172,-223,-3.4,-4.3
109,Culberson,2188,2141,2116,-47,-72,-2.1,-3.3
111,Dallam,7115,7168,7173,53,58,0.7,0.8
113,Dallas,2613539,2625702,2636564,12163,23025,0.5,0.9
115,Dawson,12456,12131,11930,-325,-526,-2.6,-4.2
117,Deaf Smith,18583,18394,18392,-189,-191,-1.0,-1.0
119,Delta,5230,5421,5483,191,253,3.7,4.8
121,Denton,906422,976840,995510,70418,89088,7.8,9.8
123,De Witt,19824,19618,19506,-206,-318,-1.0,-1.6
125,Dickens,1770,1737,1737,-33,-33,-1.9,-1.9
127,Dimmit,8615,8387,8280,-228,-335,-2.6,-3.9
129,Donley,3258,3269,3270,11,12,0.3,0.4
131,Duval,9831,9757,9912,-74,81,-0.8,0.8
133,Eastland,17725,17991,18092,266,367,1.5,2.1
135,Ector,165171,169256,173239,4085,8068,2.5,4.9
137,Edwards,1422,1412,1411,-10,-11,-0.7,-0.8
139,Ellis,192455,211321,215401,18866,22946,9.8,11.9
141,El Paso,865657,870361,869608,4704,3951,0.5,0.5
143,Erath,42545,43439,43140,894,595,2.1,1.4
145,Falls,16968,17049,17275,81,307,0.5,1.8
147,Fannin,35662,37011,37300,1349,1638,3.8,4.6
149,Fayette,24435,24831,25003,396,568,1.6,2.3
151,Fisher,3672,3609,3559,-63,-113,-1.7,-3.1
153,Floyd,5402,5186,5124,-216,-278,-4.0,-5.1
155,Foard,1095,1071,1069,-24,-26,-2.2,-2.4
157,Fort Bend,822779,871755,878774,48976,55995,6.0,6.8
159,Franklin,10359,10916,11161,557,802,5.4,7.7
161,Freestone,19435,19852,19918,417,483,2.1,2.5
163,Frio,18385,18330,18219,-55,-166,-0.3,-0.9
165,Gaines,21598,21991,22052,393,454,1.8,2.1
167,Galveston,350682,357088,359148,6406,8466,1.8,2.4
169,Garza,5816,5962,6061,146,245,2.5,4.2
171,Gillespie,26725,27630,27907,905,1182,3.4,4.4
